абажур|lampshade
заимствование|borrowing
заимствованный (от adopt)|adopted
заинтересованный, интересующийся (от interest)|interested
зайти в порт|to call at a port
заказ на покупку|purchase order
заказ по почте|mail order
заказ|ordering
заказал, заказанный (от reserve)|reserved
заказать разговор|to order a call
заказное письмо|registered post
заказы|orders
заказывать|to order
заканчивать... чём-л.|finish with
заканчиваться|be over
закат, заход солнца|sunset
закладная на недвижимость|landed security
закладная по бодмерее|hypothecation bond
закладная под движимое имущество|chattel mortgage
закладная, ипотека|mortgage
закладная|bill of sale
закладная|mortgage bond
заключать брачный договор|contract a marriage
заключать в себе|comprise
заключать в тюрьму|gaol
заключать в тюрьму|jail
заключать в тюрьму|lay fast
заключать договор|award a contract
заключать договор|effect a contract
заключать контракт|enter into contract
заключение аудитора|audit certificate
заключение инспектора|conclusion of an inspector
заключение о состоянии товара|conclusion on a condition of goods
заключение свидетеля-эксперта|opinion evidence
заключение эксперта|expert's findings
заключение экспертизы|experimental testimony
заключение, вывод|conclusion
заключенный|prisoner
заключил контракт|entered into contract
заключил соглашение|made agreement
заключил|concluded
заключительный|closing
заключить контракт|make a contract
заключить|conclude
закодированная депеша|message in code
заколка для волос (ам.)|bobby pin
заколка для волос|hairgrip
закон домициля|lex domicilii
закон о безопасности труда|labor safety act
закон о безопасности труда|labour safety act
закон о взаимном исполнении иностранных судебных решений|foreign judgements reciprocal enforcement act
закон о воздушных перевозках|carriage by air act
закон о завещаниях|wills act
закон о защите нравственности|immorality act
Закон о Коррупции за Рубежом|foreign Corrupt Practices Ast
закон о морских перевозках грузов|sea-carriage of goods act
закон о пособиях для нетрудоспособных|disability grants act
закон о судопроизводстве|judicative act
закон о торговой марке|trademark law
закон о трудоустройстве|employment act
закон об отправлении правосудия|administration of justice act
закон об охране труда|safety law
закон по защите потребителя|consumer law
закон суда|lex fori
закон флага|law of the flag
закон, право|law
законная доля|legitim
законная сила|executive force
законно|legally
законное наказание|lawful correction
законное оправдание|lawful excuse
законное платежное средство|lawful money
законное платежное средство|legal money
законное платежное средство|legal tender
законное правительство|duly constituted government
законное препятствие|legal bars
законность, срок действия|validity
законность|due course of law
законность|lawfulness
законность|legality
законность|legitimateness
законные власти|lawful authorities
законные проценты|legal interest
законные средства|lawful means
законный владелец|legal holder
законный держатель|holder in due course
законный приговор|lawful sentence
законный|justifiable
законодатель|feasor
законодатель|lawgiver
законодатель|law-giver
законодатель|law-maker
законодательная инициатива|legislative leadership
законодательная стадия|legislative phase
законодательное положение|legislative intent
законодательный аппарат|legislative machine
законодательный декрет|legislative decree
законодательный орган|legislative house
законодательный орган|legislature
законодательный|legislative
законодательство (от law)|laws
законодательство о подоходном налоге|income tax legislation
законодательство о судоходстве|law of shipping
законодательство об арбитраже|arbitration law
законоположение|legislative provision
законоположение|statutory measure
законтрактованный рабочий|contract labourer
закончил (от finish)|finished
закончить (что-либо)|be through with
Закончить активный вызов|End Active Call
Закончить все вызовы|End Active and Held
Закончить отложенный вызов|End Held Call
законы гостеприимства|xenial customs
законы государства пребывания|law of the receiving state
законы Корана|koranic law
законы о налогообложении|laws on taxation
законы, законодательство|legislation
закоренелый преступник|habitual offender
закоренелый преступник|inveterate criminal
закрепить контакт|consolidate a contact
закрепление|fastening
закрепленные права|acquired rights
закрывать заседание|leave the chair
закрывать|shut, shut, shut
закрывающий заседание|leaving the chair
закрыл заседание|left the chair
закрыл, закрытый (от close)|closed
закрытие|closure
закрытие|shut-down
закрытое акционерное общество|close corporation
закрытое заседание|private meeting
закрытое разбирательство|trial in camera
закрытые торги|auction by tender
закрыть|shut
закупка в запас|forward buying
закупка экстренная|emergency purchase
закуска, часть, доля|snack
закуска; освежающий напиток|refreshment
закуска|appetizer
закуски и напитки|refreshments
закуски|appetizers
зал ожидания|departure lounge
зал ожидания|waiting room
зал ожидания|waiting-room
зал|hall
залив, бухта|gulf
заливаться, разражаться|burst
заливное мясо|meat in aspic
залог имущества|pawning of property
залог прав|pledge of rights
залог, обеспечение, гарантия|collateral
залог, обязательство, закладывать|pledge
залог|caution bail
залог|welshing
залоговое обязательство|bail bond
залоговое письмо|letter of hypothecation
залоговое право на урожай|agricultural lien
залоговый акт|instrument of lien
залогодатель|mortgager
залогодатель|pawnor
залогодержатель|lienor
залогодержатель|mortgagee
залогодержатель|pawnee
залогодержатель|pledgee
заложенные ценные бумаги|pledged securities
заложник|hostage
замараживать|freeze, froze, frozen
замена груза|replacement of cargo
замена|substitution
заменил, замененный|replaced
заменять, замещать|replace
заменять, замещать|substitute
замерзание|freezing
замерзать, замораживать, замораживание|freeze
заместитель министра|under-secretary
заместитель председателя|vice-chairman
заметно, ощутимо|appreciable
заметный|notable
замечание, замечать|remark
замечание|observation
замечания (от remark)|remarks
замечательно|remarkably
замечательно|splendid
замечательный|admirable
замечательный|remarkable
замещение|replacement
замок, ладья|castle
замораживание заработной платы|wage freeze
заморский|oversea
заморский|overseas
замшевый|suede
замысел закона|intendment of law
занавеска, завеса|curtain
заниженный, недооцененный (от underestimate)|underestimated
занимает|takes
занимать, брать на время (of, from - у кого-л.)|borrow
занимать|occupy
заниматься контрабандой|smuggle
заниматься|go in for
заносы снежные|snow-drifts
занял должность|held office
занятие|occupancy
занятый, помолвленный (от engage)|engaged
занятый|busy
заняться чём-либо|attend to
запад|West
западный, к западу|west
западный|western
запас золотой|gold reserves
запас прочности|safety margin
запас|stockpile
запасная покрышка|spare tire
запасной вариант|back-up
запатентованное изобретение|registered invention
запертый|locked
запеченая рыба|baked fish
запирать|lock
записывает|writes
запланированный, предполагаемый|projected
заплата|patch
заповедное имущество|entailed interest
заповедное имущество|estate in tail
заповедное имущество|interest in tail
заповедное имущество|tail general
запоздалый протест|past due protest
заполнять (ам.)|to fill out
заполнять (бланк)|fill in
заполнять (бр.)|to fill in
запрашиваемая цена|asked price
запрет|interdiction
запретительный закон|negative act
запретительный закон|negative statute
Запретить доступ|Prevent Access
запретная черта|deadline
запрещать товар к ввозу|exclude the goods
запрещать|forbid
запрещать|forbid, forbade, forbidden
запрещать|prohibit
запрещение в судебном порядке|writ of injunction
запрещение|ban
запрещение|prohibition
запрещенные предметы|forbidden articles
запрещенный (от prohibit)|prohibited
запрещенный образ действий|forbidden conduct
запрос по телефаксу|inquiry by fax
запрос|enquiry
запрос|query
запчасти (от spare part)|spare parts
зарабатывание|earning
зарабатывать, заслуживать|earn
заработок|earnings
заранее обдуманный|aforethought
заранее оплатить|to prepay
заранее оцененный (от liquidate)|liquidated
заранее подготовленный|cut and dried
заранее, вперед|in advance
заранее|beforehand
зарегистрированная преступность|recorded crime
зарегистрированный, зарегистрировал|registered
зарегистрироваться|to check in
зарница|wildlife
зарплата, оклад|salary
зарубежные банковские операции|off-shore banking
заручаться|enlist
засвидетельствование аффидевита|jurat
заседание большого жюри|grand jury session
заслуженное наказание|just deserts
заслуживать|deserve
заставил|compelled
заставлять, принуждать|compel
застал(а) врасплох (от spring upon)|sprung upon
застегнуть|to fasten
застой|flatness
застраховал, застрахованный (от insure)|insured
застраховать|to insure
застрять|to get stuck
засушливый|rainless
затевать, надвигаться|brew
затевающий, надвигающийся (от brew)|brewing
затемнение|black-out
затоваривание|overstocking
затраты денежные, расходы денежные|cash expenditures
затраты прямые|direct costs
затраты скрытые|hidden costs
затраты, издержки, расходы|outlay
зафрахтовал, зафрахтованный (от charter)|chartered
захват заложников|Androlepcy
захват самолета|aircraft hijacking
захвативший в плен|captor
захватить, поимка, взятие в плен|capture
захватнический|annexationist
захватывать|hijack
захватывающий|thrilling
заходить (к кому-л.)|call on
заходить (куда-либо)|call at
заходить за (кем-л., чём-л.)|call for
заходить|drop in
захоронение ядерных отходов|dumping of nuclear waste
защита интересов потребителя|consumerism
защита свидетелей|witness protection
защита, оборона|defence
защита|protection
защита|shield
защитительная оговорка|safeguard clause
защитительная оговорка|saving clause
защитник, чемпион|defender
защитник|counsel for the defence
защитник|counsel for the defense
защитник|defense lawyer
защитный|protective
защищаемая судебным иском обязанность|actionable duty
защищать себя|defend oneself
защищать, оборонять|defend
заявил претензию|laid a claim
заявил протест|entered protest
заявил протест|made protest
заявитель|applicant
заявить отвод арбитру|challenge an arbitrator
заявка на изобретение|claim for a discovery
заявка, требование на товары|stores requisition
заявление , сделанное перед смертью|dying declaration
заявление морского протеста|noting sea protest
заявление о пересмотре|case to move for new trial
заявление о платежеспособности|declaration of solvency
заявление о признании банкротом|bankruptcy notice
заявление, объявление|declaration
заявление, официальный отчет|statement
заявление|preferment
заявление|presentment
заявлять претензию|lay a claim
заявлять протест|enter protest
заявлять протест|lodge a protest
заявлять протест|register protest
заявлять, объявлять, декларация|declare
заявлять|jile
заяц|hare
звезда, судьба, рок|star
звезды|stars
звенеть|jingle
звонил, названный (от call)|called
звонить по сотовому|to cell phone
звонить по телефону|to call
звонить, звенеть|ring, rang, rung
звук, звучать, играть|sound
звучащий|sounding
звучит (от sound)|sounds
здание|house
здесь, тут|here
здоровый|healthy
здоровье|health
здравый смысл|common-sense
зеленый горошек|green peas
зеленый салат|lettuce salad
зеленый чай|green tea
зеленый, листва, растительность|green
зелень, растительность|greenery
земельная собственность|land ownership
земельная собственность|landed estate
земельная собственность|landed property
земельные права|land entitlement
земельный реестр|register of properties
земельный сервитут|easement appurtenant
земельный сервитут|land easement
земельный суд|land tribunal
земельный участок|agricultural holding
земельный|landed
землевладелец|land tenant
землетрясение|earthquake
земля|earth
земляника; клубника|strawberry
зеркало|mirror
зерно; хлебные злаки|grain
зима|winter
злоба|malice
зловещий|ominous
зловещий|sinister
злодеяние|evil deed
злодеяния|atrocities
злой умысел|wicked design
злой|wicked
злостность|malignity
злость|spite
злоупотребил|misapplied
злоупотребление властью|misfeasance
злоупотребление наркотиками|drug abuse
злоупотребление правом|misuse of right
злоупотребление|misapplication
злоупотреблять|abuse
змея|snake
знает|knows
знак товарный|trademark
знак фирменный|mark of firm
знак, символ, талон|token
знаки, вывески (от sign)|signs
знакомить|acquaint
знакомство|acquaintance
знал (от know)|knew
знамя, флаг|banner
знание вины заранее|guilty knowledge
знание, знающий|knowing
знание|knowledge
знания и опыт по специальности|expertise
знать, дворяне|the nobles
знать|know
знать|know, knew, known
значение|importance
значение|significance
значительно|considerably
значительно|vastly
значительный, важный, существенный|significant
значительный, важный|considerable
значительный|important
значительных размеров|sizeable
значить, иметь в виду|mean, meant, meant
значки (от pin)|pins
значок, символ|badge
золото, золотой|gold
золотовалютный|gold-value
золотомонетный|gold-coin
зона пограничная|frontier zone
зона|zone
зональный|zonal
зонд|probe
зонт|umbrella
зонты (от umbrella)|umbrellas
зоол. щегол|goldfinch
зрелый, созреть|mature
зрение, предвидение|vision
зрительный зал|auditorium
зуб|tooth
зубная боль|toothache
зубная паста|toothpaste
зубная щётка|toothbrush
зубной врач|dentist
зубочистка|toothpick
зубчaтый|toothed
зубы|teeth
зяблик|chaffinch
и т.д.|etcetera (etc)
и так далее|etc
ива|willow tree
игнорировать закон|flout the law
игнорировать, не учитывать|ignore
игра|game
играет (от play)|plays
играл (от play)|played
играть в азартные игры|gamble
играющий (от play)|playing
игрок в гольф|golfer
игрок в шары|bowler
игрок с битой|batsman
игрушка, играть, забавляться|toy
игрушки (от toy)|toys
игрушки (отдел)|games department
игры (от game)|games
идеал, идеальный|ideal
идеи, концепции|concepts
идеи|ideas
идеологический|ideological
идет (от go)|goes
идиотизм|idiocy
идти (о фильмах, пьесах)|be on
идти домой|go home
идти за покупками|to go shopping
идти рысью|trot
идти, шагать, топтать|tread, trod, troden / trod
идти; ехать|go, went, gone
иена|yen
иерархия|hierarchy
Из памяти SIM-карточки|To SIM Memory
из свиной кожи|pigskin
Из списка (Фиксированного набора)|To Fixed Dial List
из фасоли|bean
из числа, из|from among
избегать, уклоняться, отменять|avoid
избиратели, избирательный округ|constituency
избиратели|electorate
избиратель|voter
избирательный бюллетень, голосование|ballot
избирательный|electoral
избирать, выбирать|choose
избирать, предпочитать|elect
избранный (от elect)|elected
избранный председателем|chaired
избыток|redundancy
известный|famous
известный|known
извещение о направлении дела на апелляцию|apostles
извещение, уведомление; предупреждение|notice
извещение|letter of advice
извинение|apology
извинение|pardon
извинения (от apology)|apologies
извинять, прощать|excuse
извлекaть|retrieve
изгиб|winding
изгнание|expulsion
изгонять, исключать|expel
изгонять|eject
изготовители|makers
изготовитель|manufacturer
изготовленный, изготовил|fabricated
издавание законов|law-making
издавать закон|issue law
издал закон|issued law
издание, выпуск|edition
издание, издавать|issue
издатель|publisher
издательство|publishing house
издающий закон|issuing law
изделия комплектующие|complementary parts
изделия некондиционные|sub-standard products
изделия сопутствующие|related products
изделия фабричные|factory-made goods
изделия|manufactures
издержки косвенные|indirect expenses
издержки обращения|distribution cost
издержки производства|operating costs
издержки производства|production costs
издержки протеста|expenses of protest
издержки|costs
издержки|fix costs
из-за, по причине|owing
излагать дело|present a case
излечивать|heal
излишний, избыточный|surplus
изложил дело|presented a case
изменение, модификация|modification
изменение, перемена|alteration
изменение, перемена|variation
изменения|alterations
изменил формулировку|redrafted
изменил|altered
Изменить код PIN2 SIM-карточки|Change SIM PIN2 Code
изменник|batrayer
изменчивость|volatility
изменчивый, непостоянный|variable
изменять к лучшему|amend
изменять(ся); менять(ся)|alter
изменяющий|changing
измерение|measurement
измеренный, измерил, оценил|measured
измерительный прибор|multimeter
измерительный, измеряющий|measuring
изнасилование|forceful rape
износ, износ физический|wear and tear
износ, устаревание|obsolescence
изображение, образ, имидж|image
изобрел, изобретенный|devised
изобрел|invented
изобретать|invent
изобретающий, изобретение|inventing
изобретение|invention
изобретения|inventions
изогнутый|curved
изолировать|isolate
изоляция|insulation
изоляция|isolation
изотопы|isotopes
изредка|occasionally
изумлять, поражать|amaze
изучение (от study)|studying
изучение рынка|market intelligence
изъятие контрабанды|seizure of contraband
изымать, анулировать|withdraw, withdrew, withdrawn
изысканный|exquisite
изюм|raisins
икра|caviar
или...или, либо...либо|either... or ...
или|or
иллюзия|illusion
иллюминатор|porthole
иллюстративная реклама|display advertising
иллюстрированная книга|picture book
иллюстрированный|illustrated
иллюстрировать|illustrate
имбирь|ginger
имеет (от have)|has
имеет вкус (от taste)|tastes
имел|came in
именная акция|registered share
именная передаточная надпись|full endorsement
именно|namely
именной индоссамент|special endorsement
именные счета|nominal accounts
иметь дело|deal, delt, delt
иметь смысл|be worthwhile
иметь, вспомогательный глагол (от have)|had
иметь, обладать|have
иметь|have, had, had
имеющий две кровати|double-bedded
имеющий обязательную силу|legally binding
имеющий силу|holding good
имеющий течь, с течью|leaky
имеющий юридическую силу|standing good in law
имеющий, обладающий (от have)|having
иммигрант|immigrant
иммиграция|immigration
иммунитет|immunity
императивная норма|mandatory rule
императивная норма|peremptory rule
императорский|imperial
империалист|imperialist
империя, господство|empire
импортер|importer
импортеры|importers
импортирование, ввоз, импорт|importation
импортированные товары|imported goods
импортировать|import
импортная пошлина|import duty
импортный груз|inward cargo
импортный налог|import tax
импортный тариф|import tariff
импульс, стимул|impetus
импульс|momentum
имущественный интерес|valuable interest
имущественный наем|bailment for hire
имущественный налог|assessed tax
имущество, средство, активы|asset
имущество|belongings
имущество|pecunia
имя фaйлa|filename
иначе|otherwise
инверсия|inversion
инвестиции зарубежные|foreign investments
инвестиции прямые|direct investments
инвестиции|investments
инвестиционный банк|investment bank
инвестиционный трест|investment trust
инвестор, вкладчик|investor
индекс, указатель, показатель|index
индексация|indexation
индивидуально-определенное движимое имущество|specified chattel
индивидуальность|personality
индивидуальные пособия|individual award
индиец, индийский|Indian
Индикатор батареи|Battery Meter
Индикация во время разговора|Set In-Call Display
индоссировать|indorse
индустриализация|industrialization
индюк|turkey
иней|hoar
инженер, механик, машинист|engineer
инженер|machinist
инженер-стажер|engineer-in-training
инженеры|engineers
инженеры|inventors
инициировaн|generated
инкассо чистое|clean encashment
инкассовое поручение|letter of collection
инкассовое поручение|remittance letter
инкриминируемое преступление|alleged crime
иногда|sometimes
инокорреспондент|correspondence clerk
иностранец по рождению|alien born
иностранец|foreigner
иностранный агент|foreign agent
иностранный, чужой, чуждый|foreign
инспектирование на месте|on-site inspection
инспектирование|visitation
инспектор, приемщик|inspector
инспектор, эксперт|surveyor
инспекционная комиссия|visiting committee
инстинкт|instinct
институт морского права|institution of maritime law
инструктаж|briefing
инструктировать|instruct
инструктор|instructor
инструкции действующие|standing instructions
инструкции по эксплуатации|operation instructions
инструкция по эксплуатации|service manual
инструмент для открывания|opener
инструментальный цех|toolroom
инструментальщик|toolmaker
инструменты для взлома|housebreaking implements
инсценировка суда|kangaroo court
интегральные схемы|ICs
интегральный|integrated
интеллект, мышление|intelligence
интеллигент|intellectual
интенсивный|intensive
интерактивный, диалоговый|interactive
интервал, промежуток|interval
интервью, интервьюировать|interview
интересный|interesting
интересовать, интерес, (ссудный) процент|interest
интересует (от interest)|interests
интересы покупателей|consumers interests
интерпретирует, преобразовывает|interprets
интимная подруга юноши|girlfriend
интимный друг девушки|boyfriend
инфляция спроса|demand pull
инфляция, вздутие, вздутость|inflation
информант|informant
информатор|relator
информационное бюро|information bureau
инфраструктура|infrastructure
инцест|incest
инцидент|incident
инъекция|injection
ипотека|hypothec
ипотечные права|mortgage interests
ипотечный акт|mortgage deed
ипотечный залог|dead-plenge
ипотечный залог|hypothecation
ипотечный сбор|mortgage due
ипподром|hippodrome
ирландец|Irishman
Ирландская республиканская армия|IRA (Irish Republican Army)
ирландский|Irish
иронически|ironically
иронический|ironic
ирония|irony
иррегулярные вооруженные силы|irregular forces
иск из договора|action ex contractu
иск из договора|action in contract
иск о взыскании убытков|action for damages
иск о взыскании|recovery suit
иск о возврате владения|action for recovery of possession
иск о возмещении вреда|action in tort
иск о недействительности|action for nullity
иск о незаконном нарушении владения|action of trepass
иск о новом рассмотрении дела|bill for new trial
иск о разводе|matrimonial action
иск о расторжении|action of rescission
иск по контракту|claim under contract
иск|action
искажать|distort
искажение|distortion
искаженный|deformed
искал (от look for)|looked for
искал из деликта|sued in tort
искал из договора|sued in contract
искать из деликта|sue in tort
искать из договора|sue in contract
искать|look for
искать|seek
искать|seek, sought, sought
искать|to look for
исключать, опускать|count out
исключать|exclude
исключая|except
исключение, возражение, оговорка|exception
исключительно|exceptionally
исключительно|exclusively
исключительно|notably
исключительно|purely
исключительное право|exclusive right
исключительный, недоступный|exclusive
исключительный|exceptional
исковая давность|limitation of actions
исковая давность|limitation period
исковая сила|actionability
исковое заявление|original bill
исковое заявление|plaint
исковое заявление|point of claim
исковое заявление|primary allegation
исковые документы|moving papers
искра, искрить|spark
искренне|sincerely
искренний, откровенный, открытый|frank
искренний|candid
искривленный|twisted
искусственный|artificial
искусство, мастерство|art
искушать|tempt
испанец|Spaniard
испанский|Spanish
исполнение ненадлежащее|improper execution
исполнение платежей|effecting payments
исполнительная власть, правительственный|executive
исполнительная власть|executive power
исполнительный договор|executed contract
исполнительный лист|writ of execution
исполнять, совершать|perform
исполняющая система|Executive
исполняющий обязанности генерального секретаря|acting general secretary
исполняющий обязанности президента|acting president
использование кредита целевое|intended use of credit
использованный, использовал|utilized
использованный, подержанный (от use)|used
использованный, примененный|employed
использовать в качестве предлога|pretend
использовать|utilize
использует|uses
использующий|taking advantage of
исправительно-трудовая колония|correctional labour colony
исправительно-трудовой кодекс|corrective labour code
исправительные работы|corrective work
исправительный дом|house of corrections
исправительный центр|correction centre
исправленный, исправил|corrected
исправлять|redress
испуганный|afraid
испытал|suffered
испытание партии (изделий)|batch test
испытания аттестационные|certification tests
испытания контрольные|check tests
испытания, пробы|tests
испытательный срок|probationary appointment
испытуемый|probationer
испытывать неприязнь|dislike
испытывать, проводить испытание|test
испытывающий жажду|thirsty
испытывающий, испытание|testing
исследование, поиск|research
исследование|exploration
исследования и опытные разработки|research and development
исследователь|researcher
исследовать|explore
исступленный, безумный|wild
истекающий|lapsing
истерический|hysterical
истерия|hysteria
истец по иску|claimant in the action
истец|claimant
истец|declarant
истец|libelant
истец|plaintiff
истечение срока|expiration
истечение срока|lapse of term
истечение|efflusion
истечение|efflux
истории, рассказы (от story)|stories
исторический, хронологический|historical
исторический|historic
история|history
источник, начало, причина|source
источник|seed
истощать|exhaust
истощение|exhaustion
Исходящие сообщения|Outgoing Messages
исчезает|disappears
исчезать, скрываться|disappear
исчезать|vanish
исчерпанный кредит|exhausted credit
исчисление, расчет|computation
итальянец, итальянский|Italian
их (на вопрос "кого?", "что?")|them
их, свой|their
ищейка (порода собак)|bloodhound
ищущий из деликта|suing in tort
ищущий из договора|suing in contract
июль|July
июнь|June
йогурт|yoghourt
йогурт|yogurt
к северу, на север|north
к сожалению|unfortunately
к счастью|fortunately
к тому же, а|and
к югу, южный|south
к, до, в|into
к, по направлению|toward
к, по|towards
кабачок|summer squash
кабинет|cabinet
кабинет|parlour
каботаж большой|large coastal shipping
каботаж, торговля каботажная|coastal trade
Кавказ|Caucasus
кадастровый|cadastral
каждого, всеобщее (от everybody)|everybody's
каждый, всякий, все|everybody
каждый, всякий|every
каждый, любой|each
кажется, по-видимому|it seems
кажется|seems
казалось|seemed
казаться|seem
казино|casino
казна|fisc
казначей|treasurer
казначейский вексель|treasury bill
казначейство|exchequer
как бы ни|however much
как только|as soon
как только|as soon as
какао|cocoa
как-будто|quasi
как-нибудь|some day
какой угодно|whichever
календарь|calendar
калечить, уродовать|cripple
калитка|wicket
калькулятор|calculator
калькуляторы|calculators
калькуляция себестоимости|calculation of costs
калькуляция цен, расценка|pricing
калькуляция, расчет хозяйственный|cost accounting
калькуляция|accounting cost
камбала|flounder
каменноугольная копь|colliery
каменноугольный бассейн|coal-field
камень, каменный|stone
камера хранения багажа|left-luggage office
камера, ячейка|cell
камера|inner tube
камин|fireplace
канава, траншея|ditch
канадец|Canadian
канал|canal
канал|channel
каналы сбыта|sales channels
каналы товародвижения|channels of distribution
каналы|channels
канарейка|canary
кандидат|candidate
каникулы|holidays
канистра|canister
канун|eve
канцеллинг|cancelling
канцелярский, конторский|clerical
канцлер|chancellor
канцтовары|stationery
каньон|canyon
капитал заемный|borrowed capital
капитал инвестированный|invested capital
капитал ликвидный|available capital
капитал оборотный|circulating capital
капитал резервный|reserve funds
капитализация|capitalization
капиталист|capitalist
капиталовложение, инвестиция|investment
капиталовложения|capital investments
капиталоемкий|capital intensive
капитан|captain (Capt.)
капитанский протест|captain's protest
капот (ам.)|hood
капот (бр.)|bonnet
карандаш для век|eyepencil
карандаш для глаз|eye pencil
карандаш|pencil
карантин|quarantine
карательные действия|vindictive action
караульное помещение|watchroom
карбюратор|carburettor
карданный вал|cardanshaft
карманный|hand-held
карманный|pocket
карнавал|carnival
карп|carp
карта (географическая)|map
карта вин|wine-card
картель|cartel
картина, изображение, рисовать, описывать|picture
картины (от picture)|pictures
картофель (от potato)|potatoes
картофельное пюре|mashed potatoes
картофельный|potato
картофель-фри|French fries
карточка для разговора по телефону|telephone card
карточка образцов|showcard
карточка|card
карточки (от card)|cards
касающийся прошедшего|retroactive
касающийся, относительно (от regard)|regarding
касса (в театре)|box-office
касса|booking-office
касса|box office receipts
касса|cash department
касса|cash desk
касса|ticket office
кассационная жалоба|writ of appeal
кассация в кассационный суд|appeal to a court of cassation
кассация судебного решения|reversal of a judgement
кассация|cassation
кассета|cassette
кассетный магнитофон|cassette recorder
кассетный плеер|walkman
кассир в банке|teller
кастрюлька для мясного бульона|stock-pot
кастрюля|saucepan
каталог новых изделий|catalogue of new makes
каталог образцов товара|catalogue of samples of goods
каталог|catalog
каталог|catalogue
каталоги|catalogues
каталоги|directories
катание на лодке|boating
катание на лыжах|skiing
катание на роликовой доске (от skateboard)|skateboarding
катание, катающийся (от skate)|skating
кататься на коньках|skate
категория|category
каток|skating-rink
католик|Catholic
каторжные работы|galleys
каторжные работы|hard labour
кафе|cafe
кафе|cafeteria
кафедра свидетельских показаний|witness stand
кафель|wall tiles
качание, качать|swing
качественный|quantitative
качество надлежащее|proper quality
качество|quality
качка|tossing
кашель|cough
каштан|chestnut
каюта|cabin
квалифицированная кража|aggravated larceny
квалифицированный рабочий|skilled worker
квалифицированный, умелый, ловкий|skilled
квалифицированный|qualified
квалифицировать|qualify
кварталы (от block)|blocks
квартальный|quarterly
квартира, комната|apartment
квартира|headquarters
квартиры (от flat)|flats
квинтет|quintet
квитанция за багаж|luggage receipt
квитанция|ticket
кворум|quorum
квота импортная|import quota
квота, норма|quota
квота|cailing
квотирование валюты|allocation of currency
квотное обязательство|quota liability
квотный договор|quota-share treaty
кета|Siberian salmon
кетчуп|ketchup
кефир|kefir
кефир|sour milk
кивать головой|nod
киви|kiwi
кило|kilo
килобайт|K (kilobyte)
килограмм|kilogram
километр|kilometer
километр|kilometre
кино, фильмы (от movie)|movies
киносъемка|filming
кинотеатр|cinema
кинофильм|movie
киоск, палатка|booth
кипа, тюк|bale
кипятить|boil
кипящий|boiling
кирпич|brick
кисель|jelly-style dessert
кислород|oxygen
кислый|acid
кислый|sour
китаец, китайский|Chinese
китайский мопс|pekinese
клавиатура|keyboard
клавиши|keys
кладовая|pantry
класс, разряд|class
класс|classroom
